name,injury_date
"Bracho, Silvino",3/13/2019
"Bracho, Silvino",3/13/2019
"Fulmer, Michael",3/27/2019
"Fulmer, Michael",3/27/2019
"Espinoza, Anderson",4/22/2019
"Espinoza, Anderson",4/22/2019
"Rodón, Carlos",5/15/2019
"Rodón, Carlos",5/15/2019
"Martin, Corbin",7/3/2019
"Martin, Corbin",7/3/2019
"Taillon, Jameson",8/13/2019
"Taillon, Jameson",8/13/2019
"Robertson, David",8/15/2019
"Robertson, David",8/15/2019
"Moronta, Reyes",9/10/2019
"Moronta, Reyes",9/10/2019
"Mengden, Daniel",2/10/2020
"Mengden, Daniel",2/10/2020
"Severino, Luis",2/27/2020
"Severino, Luis",2/27/2020
"Burke, Brock",2/28/2020
"Burke, Brock",2/28/2020
"Díaz, Yennsy",3/9/2020
"Díaz, Yennsy",3/9/2020
"Armenteros, Rogelio",3/13/2020
"Armenteros, Rogelio",3/13/2020
"Muñoz, Andrés",3/20/2020
"Beede, Tyler",3/20/2020
"Muñoz, Andrés",3/20/2020
"Beede, Tyler",3/20/2020
"Syndergaard, Noah",3/26/2020
"Syndergaard, Noah",3/26/2020
"Sale, Chris",3/30/2020
"Sale, Chris",3/30/2020
"Archer, Chris",6/2/2020
"Archer, Chris",6/2/2020
"Brebbia, John",6/3/2020
"Brebbia, John",6/3/2020
"Tanaka, Masahiro",7/4/2020
"Tanaka, Masahiro",7/4/2020
"Nelson, Jimmy",7/7/2020
"Nelson, Jimmy",7/7/2020
"Castillo, José",7/8/2020
"Castillo, José",7/8/2020
"Anderson, Chase",7/9/2020
"Anderson, Chase",7/9/2020
"Tate, Dillon",7/10/2020
"Tate, Dillon",7/10/2020
"Chapman, Aroldis",7/11/2020
"Bautista, Gerson",7/11/2020
"Quintana, Jose",7/11/2020
"Hamels, Cole",7/11/2020
"Chapman, Aroldis",7/11/2020
"Bautista, Gerson",7/11/2020
"Quintana, Jose",7/11/2020
"Hamels, Cole",7/11/2020
"Steckenrider, Drew",7/13/2020
"Steckenrider, Drew",7/13/2020
"Harvey, Hunter",7/14/2020
"Harvey, Hunter",7/14/2020
"Lockett, Walker",7/16/2020
"Lockett, Walker",7/16/2020
"Stroman, Marcus",7/17/2020
"Stroman, Marcus",7/17/2020
"Zimmermann, Jordan",7/18/2020
"DeSclafani, Anthony",7/18/2020
"Wingenter, Trey",7/18/2020
"Zimmermann, Jordan",7/18/2020
"DeSclafani, Anthony",7/18/2020
"Wingenter, Trey",7/18/2020
"Anderson, Brett",7/19/2020
"Black, Ray",7/19/2020
"Anderson, Brett",7/19/2020
"Black, Ray",7/19/2020
"Odorizzi, Jake",7/20/2020
"Odorizzi, Jake",7/20/2020
"Kershaw, Clayton",7/21/2020
"Lambert, Peter",7/21/2020
"Kershaw, Clayton",7/21/2020
"Lambert, Peter",7/21/2020
"Anderson, Justin",7/22/2020
"Anderson, Justin",7/22/2020
"Holmes, Clay",7/24/2020
"Mikolas, Miles",7/24/2020
"Holmes, Clay",7/24/2020
"Mikolas, Miles",7/24/2020
"Wood, Alex",7/25/2020
"Stephenson, Robert",7/25/2020
"Elías, Roenis",7/25/2020
"Wieck, Brad",7/25/2020
"Brennan, Brandon",7/25/2020
"Wood, Alex",7/25/2020
"Stephenson, Robert",7/25/2020
"Elías, Roenis",7/25/2020
"Wieck, Brad",7/25/2020
"Brennan, Brandon",7/25/2020
"Ureña, José",7/26/2020
"Giles, Ken",7/26/2020
"Devenski, Chris",7/26/2020
"Biagini, Joe",7/26/2020
"López, Reynaldo",7/26/2020
"Leclerc, José",7/26/2020
"Kluber, Corey",7/26/2020
"Ureña, José",7/26/2020
"Giles, Ken",7/26/2020
"Devenski, Chris",7/26/2020
"Biagini, Joe",7/26/2020
"López, Reynaldo",7/26/2020
"Leclerc, José",7/26/2020
